opening,win_count,draw_count,total_games,white_wins,black_wins,win_rate,draw_rate,white_win_rate,black_win_rate,black_blunders,white_blunders,avg_white_blunder,avg_black_blunder
Sicilian Defense: Closed,99,2,101,55,44,0.9801980198019802,0.019801980198019802,0.5555555555555556,0.4444444444444444,35,37,0.36633663366336633,0.3465346534653465
Sicilian Defense,46,3,49,25,21,0.9387755102040817,0.061224489795918366,0.5434782608695652,0.45652173913043476,33,30,0.6122448979591837,0.673469387755102
"Sicilian Defense: Closed, Traditional",43,5,48,23,20,0.8958333333333334,0.10416666666666667,0.5348837209302325,0.46511627906976744,18,21,0.4375,0.375
Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,41,6,47,28,13,0.8723404255319149,0.1276595744680851,0.6829268292682927,0.3170731707317073,102,84,1.7872340425531914,2.1702127659574466
Sicilian Defense: Moscow Variation,38,8,46,16,22,0.8260869565217391,0.17391304347826086,0.42105263157894735,0.5789473684210527,1,0,0.0,0.021739130434782608
Sicilian Defense: Chekhover Variation,36,0,36,17,19,1.0,0.0,0.4722222222222222,0.5277777777777778,112,127,3.5277777777777777,3.111111111111111
Sicilian Defense: Alapin Variation,34,1,35,20,14,0.9714285714285714,0.02857142857142857,0.5882352941176471,0.4117647058823529,38,35,1.0,1.0857142857142856
Sicilian Defense: Old Sicilian,30,2,32,17,13,0.9375,0.0625,0.5666666666666667,0.43333333333333335,63,53,1.65625,1.96875
Sicilian Defense: Najdorf Variation,31,1,32,14,17,0.96875,0.03125,0.45161290322580644,0.5483870967741935,27,21,0.65625,0.84375
Sicilian Defense: Modern Variations,26,4,30,14,12,0.8666666666666667,0.13333333333333333,0.5384615384615384,0.46153846153846156,226,235,7.833333333333333,7.533333333333333
"Sicilian Defense: Canal Attack, Main Line",25,3,28,15,10,0.8928571428571429,0.10714285714285714,0.6,0.4,8,3,0.10714285714285714,0.2857142857142857
"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",26,0,26,13,13,1.0,0.0,0.5,0.5,27,19,0.7307692307692307,1.0384615384615385
Sicilian Defense: Delayed Alapin Variation,23,1,24,11,12,0.9583333333333334,0.041666666666666664,0.4782608695652174,0.5217391304347826,12,7,0.2916666666666667,0.5
"Sicilian Defense: Alapin Variation, Barmen Defense",19,2,21,11,8,0.9047619047619048,0.09523809523809523,0.5789473684210527,0.42105263157894735,32,36,1.7142857142857142,1.5238095238095237
"Sicilian Defense: Najdorf Variation, English Attack",20,0,20,10,10,1.0,0.0,0.5,0.5,5,5,0.25,0.25
Sicilian Defense: Delayed Alapin,18,1,19,9,9,0.9473684210526315,0.05263157894736842,0.5,0.5,42,39,2.0526315789473686,2.210526315789474
"Sicilian Defense: Taimanov Variation, Bastrikov Variation",15,4,19,10,5,0.7894736842105263,0.21052631578947367,0.6666666666666666,0.3333333333333333,41,48,2.526315789473684,2.1578947368421053
Sicilian Defense: Löwenthal Variation,17,1,18,10,7,0.9444444444444444,0.05555555555555555,0.5882352941176471,0.4117647058823529,109,131,7.277777777777778,6.055555555555555
Sicilian Defense: Kalashnikov Variation,16,2,18,6,10,0.8888888888888888,0.1111111111111111,0.375,0.625,73,72,4.0,4.055555555555555
"Sicilian Defense: Accelerated Dragon, Maróczy Bind",14,3,17,4,10,0.8235294117647058,0.17647058823529413,0.2857142857142857,0.7142857142857143,7,7,0.4117647058823529,0.4117647058823529
Sicilian Defense: Taimanov Variation,14,3,17,7,7,0.8235294117647058,0.17647058823529413,0.5,0.5,59,71,4.176470588235294,3.4705882352941178
"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",16,1,17,9,7,0.9411764705882353,0.058823529411764705,0.5625,0.4375,32,34,2.0,1.8823529411764706
Sicilian Defense: French Variation,16,1,17,6,10,0.9411764705882353,0.058823529411764705,0.375,0.625,44,41,2.411764705882353,2.588235294117647
"Sicilian Defense: Alapin Variation, Smith-Morra Declined",15,2,17,8,7,0.8823529411764706,0.11764705882352941,0.5333333333333333,0.4666666666666667,36,31,1.8235294117647058,2.1176470588235294
Sicilian Defense: Four Knights Variation,16,0,16,6,10,1.0,0.0,0.375,0.625,16,20,1.25,1.0
"Sicilian Defense: Kan Variation, Knight Variation",13,2,15,8,5,0.8666666666666667,0.13333333333333333,0.6153846153846154,0.38461538461538464,10,19,1.2666666666666666,0.6666666666666666
Sicilian Defense: Mengarini Variation,15,0,15,6,9,1.0,0.0,0.4,0.6,73,86,5.733333333333333,4.866666666666666
"Sicilian Defense: Accelerated Dragon, Modern Variation",14,1,15,10,4,0.9333333333333333,0.06666666666666667,0.7142857142857143,0.2857142857142857,10,8,0.5333333333333333,0.6666666666666666
Sicilian Defense: Hyperaccelerated Fianchetto,14,0,14,6,8,1.0,0.0,0.42857142857142855,0.5714285714285714,83,92,6.571428571428571,5.928571428571429
Sicilian Defense: Prins Variation,11,3,14,6,5,0.7857142857142857,0.21428571428571427,0.5454545454545454,0.45454545454545453,99,89,6.357142857142857,7.071428571428571
Sicilian Defense: Smith-Morra Gambit,14,0,14,7,7,1.0,0.0,0.5,0.5,0,1,0.07142857142857142,0.0
Sicilian Defense: Snyder Variation,12,0,12,5,7,1.0,0.0,0.4166666666666667,0.5833333333333334,9,7,0.5833333333333334,0.75
Sicilian Defense: Grand Prix Attack,12,0,12,8,4,1.0,0.0,0.6666666666666666,0.3333333333333333,3,3,0.25,0.25
Sicilian Defense: Hyperaccelerated Pterodactyl,11,1,12,7,4,0.9166666666666666,0.08333333333333333,0.6363636363636364,0.36363636363636365,34,41,3.4166666666666665,2.8333333333333335
Sicilian Defense: Staunton-Cochrane Variation,10,1,11,3,7,0.9090909090909091,0.09090909090909091,0.3,0.7,114,126,11.454545454545455,10.363636363636363
Sicilian Defense: Hyperaccelerated Dragon,10,1,11,5,5,0.9090909090909091,0.09090909090909091,0.5,0.5,36,36,3.272727272727273,3.272727272727273
Sicilian Defense: Classical Variation,10,1,11,2,8,0.9090909090909091,0.09090909090909091,0.2,0.8,8,6,0.5454545454545454,0.7272727272727273
Sicilian Defense: Keres Variation,9,1,10,8,1,0.9,0.1,0.8888888888888888,0.1111111111111111,35,30,3.0,3.5
"Sicilian Defense: Kan Variation, Modern Variation",8,2,10,4,4,0.8,0.2,0.5,0.5,51,43,4.3,5.1
"Sicilian Defense: Closed, Chameleon Variation",7,3,10,5,2,0.7,0.3,0.7142857142857143,0.2857142857142857,2,5,0.5,0.2
"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",9,1,10,5,4,0.9,0.1,0.5555555555555556,0.4444444444444444,52,51,5.1,5.2
"Sicilian Defense: Najdorf Variation, Adams Attack",9,0,9,4,5,1.0,0.0,0.4444444444444444,0.5555555555555556,28,26,2.888888888888889,3.111111111111111
Sicilian Defense: McDonnell Attack,7,2,9,3,4,0.7777777777777778,0.2222222222222222,0.42857142857142855,0.5714285714285714,33,47,5.222222222222222,3.6666666666666665
Sicilian Defense: Bowdler Attack,9,0,9,7,2,1.0,0.0,0.7777777777777778,0.2222222222222222,40,38,4.222222222222222,4.444444444444445
"Sicilian Defense: Najdorf Variation, Opocensky Variation",8,0,8,6,2,1.0,0.0,0.75,0.25,15,13,1.625,1.875
"Sicilian Defense: Modern Variations, Tartakower",8,0,8,2,6,1.0,0.0,0.25,0.75,4,5,0.625,0.5
"Sicilian Defense: Wing Gambit, Marshall Variation",7,1,8,3,4,0.875,0.125,0.42857142857142855,0.5714285714285714,41,49,6.125,5.125
"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",7,1,8,4,3,0.875,0.125,0.5714285714285714,0.42857142857142855,25,33,4.125,3.125
Sicilian Defense: Wing Gambit,8,0,8,3,5,1.0,0.0,0.375,0.625,13,13,1.625,1.625
"Sicilian Defense: Dragon Variation, Levenfish Variation",6,1,7,4,2,0.8571428571428571,0.14285714285714285,0.6666666666666666,0.3333333333333333,1,2,0.2857142857142857,0.14285714285714285
Sicilian Defense: Open,6,1,7,1,5,0.8571428571428571,0.14285714285714285,0.16666666666666666,0.8333333333333334,25,26,3.7142857142857144,3.5714285714285716
"Sicilian Defense: Dragon Variation, Yugoslav Attack",6,1,7,4,2,0.8571428571428571,0.14285714285714285,0.6666666666666666,0.3333333333333333,84,75,10.714285714285714,12.0
"Sicilian Defense: Najdorf Variation, Lipnitsky Attack",7,0,7,4,3,1.0,0.0,0.5714285714285714,0.42857142857142855,16,9,1.2857142857142858,2.2857142857142856
"Sicilian Defense: Four Knights Variation, Exchange Variation",6,0,6,4,2,1.0,0.0,0.6666666666666666,0.3333333333333333,62,56,9.333333333333334,10.333333333333334
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line",6,0,6,5,1,1.0,0.0,0.8333333333333334,0.16666666666666666,33,35,5.833333333333333,5.5
"Sicilian Defense: French Variation, Open",6,0,6,3,3,1.0,0.0,0.5,0.5,22,19,3.1666666666666665,3.6666666666666665
"Sicilian Defense: Najdorf Variation, Amsterdam Variation",5,1,6,0,5,0.8333333333333334,0.16666666666666666,0.0,1.0,4,2,0.3333333333333333,0.6666666666666666
"Sicilian Defense: Four Knights Variation, Cobra Variation",6,0,6,3,3,1.0,0.0,0.5,0.5,27,27,4.5,4.5
Sicilian Defense: Godiva Variation,5,1,6,1,4,0.8333333333333334,0.16666666666666666,0.2,0.8,59,65,10.833333333333334,9.833333333333334
"Sicilian Defense: Najdorf Variation, Opocensky Variation, Traditional Line",4,1,5,3,1,0.8,0.2,0.75,0.25,2,1,0.2,0.4
Sicilian Defense: Lasker-Pelikan Variation,5,0,5,3,2,1.0,0.0,0.6,0.4,32,28,5.6,6.4
"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",5,0,5,4,1,1.0,0.0,0.8,0.2,49,41,8.2,9.8
"Sicilian Defense: Nimzowitsch Variation, Closed Variation",5,0,5,2,3,1.0,0.0,0.4,0.6,0,1,0.2,0.0
Sicilian Defense: Scheveningen Variation,4,0,4,2,2,1.0,0.0,0.5,0.5,64,52,13.0,16.0
"Sicilian Defense: Nimzowitsch Variation, Main Line",4,0,4,2,2,1.0,0.0,0.5,0.5,1,2,0.5,0.25
"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",3,1,4,2,1,0.75,0.25,0.6666666666666666,0.3333333333333333,0,1,0.25,0.0
"Sicilian Defense: Richter-Rauzer Variation, Modern Variation",4,0,4,2,2,1.0,0.0,0.5,0.5,10,13,3.25,2.5
Sicilian Defense: Smith-Morra Gambit Deferred,4,0,4,3,1,1.0,0.0,0.75,0.25,5,5,1.25,1.25
"Sicilian Defense: Najdorf Variation, Main Line",4,0,4,1,3,1.0,0.0,0.25,0.75,3,4,1.0,0.75
"Sicilian Defense: Scheveningen Variation, English Attack",4,0,4,1,3,1.0,0.0,0.25,0.75,19,23,5.75,4.75
"Sicilian Defense: Moscow Variation, Sokolsky Variation",3,1,4,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666,12,12,3.0,3.0
Sicilian Defense: Kramnik Variation,2,2,4,1,1,0.5,0.5,0.5,0.5,9,5,1.25,2.25
"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation",4,0,4,1,3,1.0,0.0,0.25,0.75,10,7,1.75,2.5
Sicilian Defense: Richter-Rauzer Variation,3,1,4,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666,15,18,4.5,3.75
"Sicilian Defense: Nimzowitsch Variation, Advance Variation",3,1,4,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666,15,13,3.25,3.75
Sicilian Defense: Dragon Variation,3,0,3,0,3,1.0,0.0,0.0,1.0,12,15,5.0,4.0
"Sicilian Defense: Dragon Variation, Classical Variation, Battery Variation",2,1,3,1,1,0.6666666666666666,0.3333333333333333,0.5,0.5,16,11,3.6666666666666665,5.333333333333333
"Sicilian Defense: Classical Variation, Anti-Sozin Variation",2,1,3,0,2,0.6666666666666666,0.3333333333333333,0.0,1.0,7,5,1.6666666666666667,2.3333333333333335
"Sicilian Defense: O'Kelly Variation, Venice System",2,1,3,0,2,0.6666666666666666,0.3333333333333333,0.0,1.0,4,5,1.6666666666666667,1.3333333333333333
"Sicilian Defense: Grand Prix Attack, Schofman Variation",3,0,3,3,0,1.0,0.0,1.0,0.0,7,6,2.0,2.3333333333333335
"Sicilian Defense: French Variation, Normal",3,0,3,1,2,1.0,0.0,0.3333333333333333,0.6666666666666666,36,37,12.333333333333334,12.0
"Sicilian Defense: O'Kelly Variation, Normal System",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,13,11,3.6666666666666665,4.333333333333333
Sicilian Defense: Accelerated Dragon,3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,5,2,0.6666666666666666,1.6666666666666667
Sicilian Defense: Boleslavsky Variation,3,0,3,1,2,1.0,0.0,0.3333333333333333,0.6666666666666666,1,3,1.0,0.3333333333333333
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,1,1,0.3333333333333333,0.3333333333333333
"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",2,1,3,1,1,0.6666666666666666,0.3333333333333333,0.5,0.5,0,1,0.3333333333333333,0.0
"Sicilian Defense: French Variation, Westerinen Attack",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,7,8,2.6666666666666665,2.3333333333333335
"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation",3,0,3,1,2,1.0,0.0,0.3333333333333333,0.6666666666666666,14,12,4.0,4.666666666666667
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation",2,1,3,1,1,0.6666666666666666,0.3333333333333333,0.5,0.5,1,4,1.3333333333333333,0.3333333333333333
"Sicilian Defense: Accelerated Dragon, Exchange Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,13,13,4.333333333333333,4.333333333333333
Sicilian Defense: Kveinis Variation,3,0,3,3,0,1.0,0.0,1.0,0.0,20,15,5.0,6.666666666666667
"Sicilian Defense: Najdorf Variation, Zagreb Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,0,3,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",3,0,3,3,0,1.0,0.0,1.0,0.0,5,8,2.6666666666666665,1.6666666666666667
"Sicilian Defense: Modern Variations, Main Line",3,0,3,0,3,1.0,0.0,0.0,1.0,13,13,4.333333333333333,4.333333333333333
"Sicilian Defense: Dragon Variation, Classical Variation",3,0,3,1,2,1.0,0.0,0.3333333333333333,0.6666666666666666,12,22,7.333333333333333,4.0
"Sicilian Defense: Richter-Rauzer Variation, Vitolins Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333,17,15,5.0,5.666666666666667
"Sicilian Defense: Alapin Variation, Barmen Defense, Central Exchange",2,0,2,2,0,1.0,0.0,1.0,0.0,7,8,4.0,3.5
Queen's Pawn Game: Franco-Sicilian Defense,2,0,2,0,2,1.0,0.0,0.0,1.0,11,9,4.5,5.5
"Sicilian Defense: Smith-Morra Gambit Declined, Dubois Variation",2,0,2,1,1,1.0,0.0,0.5,0.5,27,26,13.0,13.5
Sicilian Defense: Morphy Gambit,2,0,2,1,1,1.0,0.0,0.5,0.5,14,9,4.5,7.0
"Sicilian Defense: Scheveningen Variation, Delayed Keres Attack",2,0,2,1,1,1.0,0.0,0.5,0.5,10,9,4.5,5.0
Sicilian Defense: Nimzowitsch Variation,2,0,2,1,1,1.0,0.0,0.5,0.5,5,4,2.0,2.5
"Sicilian Defense: Smith-Morra Gambit Accepted, Classical Formation",1,1,2,0,1,0.5,0.5,0.0,1.0,3,2,1.0,1.5
"Sicilian Defense: Wing Gambit, Deferred Variation",2,0,2,1,1,1.0,0.0,0.5,0.5,23,21,10.5,11.5
"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack",2,0,2,0,2,1.0,0.0,0.0,1.0,4,7,3.5,2.0
"Sicilian Defense: O'Kelly Variation, Normal System, Smith-Morra Line",1,1,2,1,0,0.5,0.5,1.0,0.0,23,25,12.5,11.5
"Sicilian Defense: Taimanov Variation, Szén Variation",2,0,2,0,2,1.0,0.0,0.0,1.0,8,8,4.0,4.0
"Sicilian Defense: Dragon Variation, Fianchetto Variation",1,1,2,0,1,0.5,0.5,0.0,1.0,0,1,0.5,0.0
"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation",2,0,2,0,2,1.0,0.0,0.0,1.0,12,12,6.0,6.0
"Sicilian Defense: Prins Variation, Venice Attack",2,0,2,1,1,1.0,0.0,0.5,0.5,10,8,4.0,5.0
"Sicilian Defense: Sozin Attack, Flank Variation",2,0,2,2,0,1.0,0.0,1.0,0.0,8,9,4.5,4.0
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations",2,0,2,0,2,1.0,0.0,0.0,1.0,3,5,2.5,1.5
Sicilian Defense: Marshall Gambit,2,0,2,2,0,1.0,0.0,1.0,0.0,0,3,1.5,0.0
"Sicilian Defense: O'Kelly Variation, Yerevan System",1,1,2,1,0,0.5,0.5,1.0,0.0,3,0,0.0,1.5
"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation",2,0,2,1,1,1.0,0.0,0.5,0.5,2,1,0.5,1.0
"Sicilian Defense: Canal Attack, Haag Gambit",1,0,1,1,0,1.0,0.0,1.0,0.0,12,12,12.0,12.0
Sicilian Defense: Marshall Counterattack,1,0,1,0,1,1.0,0.0,0.0,1.0,5,3,3.0,5.0
Sicilian Defense: Nimzo-American Variation,1,0,1,0,1,1.0,0.0,0.0,1.0,4,3,3.0,4.0
"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",1,0,1,1,0,1.0,0.0,1.0,0.0,7,8,8.0,7.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Pin Defense",1,0,1,0,1,1.0,0.0,0.0,1.0,5,4,4.0,5.0
"Sicilian Defense: O'Kelly Variation, Venice System, Gambit Line",1,0,1,0,1,1.0,0.0,0.0,1.0,10,11,11.0,10.0
"Sicilian Defense: Scheveningen Variation, Fianchetto Variation",0,1,1,0,0,0.0,1.0,,,1,0,0.0,1.0
Sicilian Defense: Kan Variation,0,1,1,0,0,0.0,1.0,,,1,0,0.0,1.0
Sicilian Defense: Katalimov Variation,1,0,1,0,1,1.0,0.0,0.0,1.0,1,0,0.0,1.0
"Sicilian Defense: Sozin Attack, Leonhardt Variation",1,0,1,1,0,1.0,0.0,1.0,0.0,7,9,9.0,7.0
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line",1,0,1,0,1,1.0,0.0,0.0,1.0,11,14,14.0,11.0
"Sicilian Defense: Najdorf Variation, Freak Attack",1,0,1,0,1,1.0,0.0,0.0,1.0,11,12,12.0,11.0
"Sicilian Defense: Scheveningen Variation, Classical Variation",0,1,1,0,0,0.0,1.0,,,9,4,4.0,9.0
"Sicilian Defense: Classical Variation, Fianchetto Variation",1,0,1,0,1,1.0,0.0,0.0,1.0,0,1,1.0,0.0
Sicilian Defense: Venice Attack,1,0,1,0,1,1.0,0.0,0.0,1.0,7,8,8.0,7.0
"Sicilian Defense: Dragon Variation, Classical Variation, Alekhine Line",1,0,1,0,1,1.0,0.0,0.0,1.0,1,1,1.0,1.0
Sicilian Defense: Gaw-Paw Variation,1,0,1,0,1,1.0,0.0,0.0,1.0,4,7,7.0,4.0
Sicilian Defense: Paulsen-Basman Defense,1,0,1,1,0,1.0,0.0,1.0,0.0,4,4,4.0,4.0
"Sicilian Defense: Kan Variation, Wing Attack, Fianchetto Variation",1,0,1,0,1,1.0,0.0,0.0,1.0,7,6,6.0,7.0
Sicilian Defense: Pin Variation,1,0,1,0,1,1.0,0.0,0.0,1.0,1,2,2.0,1.0
"Sicilian Defense: Delayed Alapin, Basman-Palatnik Gambit",1,0,1,0,1,1.0,0.0,0.0,1.0,2,1,1.0,2.0
"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation",1,0,1,0,1,1.0,0.0,0.0,1.0,10,10,10.0,10.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation",1,0,1,1,0,1.0,0.0,1.0,0.0,1,5,5.0,1.0
Sicilian Defense: Lasker-Dunne Attack,1,0,1,0,1,1.0,0.0,0.0,1.0,4,2,2.0,4.0
"Sicilian Defense: Najdorf Variation, Traditional Line",1,0,1,0,1,1.0,0.0,0.0,1.0,2,1,1.0,2.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",1,0,1,1,0,1.0,0.0,1.0,0.0,0,1,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation",1,0,1,0,1,1.0,0.0,0.0,1.0,2,2,2.0,2.0
"Sicilian Defense: Nimzowitsch Variation, Exchange Variation",1,0,1,1,0,1.0,0.0,1.0,0.0,10,10,10.0,10.0
"Sicilian Defense: O'Kelly Variation, Réti System",1,0,1,1,0,1.0,0.0,1.0,0.0,3,3,3.0,3.0
"Sicilian Defense: Scheveningen Variation, Matanovic Attack",1,0,1,1,0,1.0,0.0,1.0,0.0,4,2,2.0,4.0
"Sicilian Defense: O'Kelly Variation, Venice System, Barcza Line",1,0,1,0,1,1.0,0.0,0.0,1.0,2,1,1.0,2.0
"Sicilian Defense: Morphy Gambit, Andreaschek Gambit",1,0,1,1,0,1.0,0.0,1.0,0.0,1,3,3.0,1.0
"Sicilian Defense: O'Kelly Variation, Normal System, Zagorovsky Line",1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,0.0,1.0
"Sicilian Defense: Wing Gambit, Abrahams Variation",0,1,1,0,0,0.0,1.0,,,1,2,2.0,1.0
"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",1,0,1,0,1,1.0,0.0,0.0,1.0,0,0,0.0,0.0
"Sicilian Defense: Lasker-Pelikan Variation, Bird Variation",1,0,1,0,1,1.0,0.0,0.0,1.0,6,5,5.0,6.0
"Sicilian Defense: Sozin, not Scheveningen",0,1,1,0,0,0.0,1.0,,,1,0,0.0,1.0
"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",1,0,1,0,1,1.0,0.0,0.0,1.0,5,3,3.0,5.0
"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line",1,0,1,0,1,1.0,0.0,0.0,1.0,2,1,1.0,2.0
"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",1,0,1,0,1,1.0,0.0,0.0,1.0,0,0,0.0,0.0
"Sicilian Defense: Dragon Variation, Classical Variation, Normal Line",1,0,1,1,0,1.0,0.0,1.0,0.0,5,8,8.0,5.0
"Sicilian Defense: Scheveningen Variation, Keres Attack",1,0,1,1,0,1.0,0.0,1.0,0.0,2,1,1.0,2.0
"Sicilian Defense: Scheveningen Variation, Tal Variation",1,0,1,0,1,1.0,0.0,0.0,1.0,2,0,0.0,2.0
"Sicilian Defense: Taimanov Variation, American Attack",1,0,1,1,0,1.0,0.0,1.0,0.0,4,3,3.0,4.0
"Sicilian Defense: Scheveningen Variation, Modern Variation",1,0,1,0,1,1.0,0.0,0.0,1.0,2,3,3.0,2.0
"Sicilian Defense: Taimanov Variation, Bastrikov Variation, Ponomariov Gambit",1,0,1,1,0,1.0,0.0,1.0,0.0,6,6,6.0,6.0
"Sicilian Defense: McDonnell Attack, Tal Gambit",0,1,1,0,0,0.0,1.0,,,2,4,4.0,2.0
"Sicilian Defense: Accelerated Fianchetto, Maróczy Bind",1,0,1,0,1,1.0,0.0,0.0,1.0,0,1,1.0,0.0
"Sicilian Defense: Kan Variation, Wing Attack",1,0,1,0,1,1.0,0.0,0.0,1.0,1,0,0.0,1.0
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Sosonko Variation",1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,0.0,1.0
"Sicilian Defense: O'Kelly Variation, Quiet System",1,0,1,1,0,1.0,0.0,1.0,0.0,6,4,4.0,6.0
